"%s Item(s)","%s Item(s)"
"%s Item(s)","%s Item(s)"
"Hotels trois etoiles ***","Three Star Hotels ***"
"Hotels deux etoiles**","Two Star Hotel **"
"BEST WESTERN Bretagne Montparnasse","BEST WESTERN Bretagne Montparnasse 4*"
"BW14","Hotel 4* - Paris 14th"
"Hotel Alexandrie","Alexandrie Hotel"
"paris14","Hotel 3* - Paris 14th"
"Hotel Eiffel Kennedy","Eiffel Kennedy Hotel"
"paris16","Paris 16th"
"Hôtels Wagram & Batignolles","Hotels Wagram &amp; Batignolles"
"Hotel de Neuville","BEST WESTERN De Neuville 4*"
"BW17","Hotel 4* - Paris 17th"
"BW16","Hotel 4* - Paris 12th"
"OB7","Hotel 4* - Paris 17th"
"Hotel Saint-Louis","BEST WESTERN Saint Louis Hotel"
"Hotel Saint-Louis2","BEST WESTERN Saint Louis 4*"
"BW","Hotel 4* - Vincennes"
"Hotel Elysee Secret","Best Western Plus Elysee Secret 4*"
"Hotel Aurore","BEST WESTERN Aurore Hotel"
"BW12","Hotel 3* - Paris 12th"
"Hotel Folkestone Opera","BEST WESTERN Hotel Folkestone Opera"
"BW8","Hotel 3* - Paris 8th"
"Hôtels Louvre & Marais","Hotels Louvre, Marais &amp; Beaubourg"
"Hotel Sydney Opera","BEST WESTERN Hotel Sydney Opera"
"Hotel Mercedes","BEST WESTERN Mercedes Hotel"
"Hotel Mercedes2","BEST WESTERN Hotel Mercedes"
"Hotel aux Ducs de Bourgogne","BEST WESTERN Ducs de Bourgogne 4*"
"Hotel aux Ducs de Bourgogne2","BEST WESTERN Hotel Ducs de Bourgogne 4*"
"BW1","Hotel 4* - Paris 1st"
"Hotel Mac Mahon","MAISON ALBAR Champs Elysees Mac Mahon"
"exclusive17","Exclusive Hotels - Paris 17th"
"Hotel France Europe","BEST WESTERN France Europe Hotel"
"Hotel France Europe2","BEST WESTERN PREMIER Marais Grands Boulevards 4*"
"BW3","Hotel 3* - Paris 3rd"
"Hotel Aramis Saint Germain","BEST WESTERN Aramis Saint Germain"
"BW6","Hotel 3* - Paris 6th"
"Hotel Pas-de-Calais","Pas de Calais Hotel "
"Hotel Sevres Montparnasse", "BEST WESTERN Sevres Montparnasse 4*"
"BEST WESTERN PREMIER Opera Liege","BEST WESTERN PREMIER Opera Liege 5*"
"paris6","Hotel 3* - Paris 6th"
"paris15", "Paris 15th"
"BW15", "Hotel 4* - Paris 15th"
"BW09", "Hotel 5* - Paris 9th"
"Hotel Royal Opera","Royal Opera Hotel"
"Ouest Hotel","Ouest Hotel"
"Ouest Hotel2","Ouest Hotel 3*"
"paris12","Paris 12th"
"Holiday InnParis Gare Montparnasse","Holiday Inn Paris Gare Montparnasse 4*"
"Notre dame, Quartier Latin, Ile Saint Louis","Notre dame, Quartier Latin, Ile Saint Louis"
"Cathedrale Notre Dame de Paris","Notre Dame de Paris Cathedral"
"Ile-Saint-Louis","Ile Saint Louis"
"La Sainte-Chapelle","Sainte Chapelle"
"Universite de la Sorbonne","University of Sorbonne"
"Institut du Monde Arabe","Arab World Institute"
"Le square du Vert-Galant","Square du Vert-Galant"
"Marais, les Halles, Beaubourg","Marais, les Halles, Beaubourg"
"Centre Georges Pompidou, Beaubourg","Centre Georges Pompidou, Beaubourg"
"Musee Carnavalet","Carnavalet Museum"
"Place des Vosges","Place des Vosges"
"Hotel de Ville","Paris City Hall"
"Tour Saint-Jacques","Saint-Jacques Tower"
"Fontaine Stravinsky","Stravinsky Fountain"
"Musee Picasso ferme jusquen 2012","Picasso Museum (closed until 2012)"
"Louvre, Champs-Elysees, Etoile","Louvre, Champs Elysees, Etoile"
"Musee du Louvre","Louvre Museum"
"Pyramide du Louvre","Louvre Pyramid"
"Cour carree du Louvre","Cour Carree du Louvre"
"Jardin des Tuileries","Tuileries Garden"
"Les Champs-Elysees","Champs Elysees"
"Pont Alexandre-III","Pont Alexandre III"
"Arc de Triomphe, place de lEtoile","Arc de Triomphe, place de l'Etoile"
